provider_id,name,phone,email,address,specialty,license_no,website
1,Patricia Schneider,218.405.6752x77639,gomezalison@example.net,"79309 Mcdonald Mission, Steelehaven, MA 81070",Orthopedics,LIC19679,https://www.patriciaclinic.com
2,Kathy Wright,896.587.4402,jleonard@example.com,"USCGC Lewis, FPO AP 57240",Neurology,LIC51592,https://www.kathyclinic.com
3,David Caldwell,(623)914-9098x348,christine81@example.com,"173 Cobb Estate Apt. 232, Beasleyfort, NC 77119",Cardiology,LIC59953,https://www.davidclinic.com
4,Trevor Johnson,393-460-6887,andreachavez@example.org,"68316 Dana Inlet Suite 766, West Joshua, WV 08639",Orthopedics,LIC25564,https://www.trevorclinic.com
5,Larry Moore III,001-328-938-9575x9353,samuelchavez@example.net,"016 Cunningham Port, Jasonbury, ME 78722",Gynecology,LIC15326,https://www.larryclinic.com
6,Kenneth Cabrera,001-686-442-2158x93880,zfry@example.com,"490 Laura Gateway, Port Nancyshire, NE 99395",Gynecology,LIC48049,https://www.kennethclinic.com
7,Angela Clark,562-764-9029x216,yrogers@example.org,"01831 Rice Extensions, Andrewport, WI 28053",Psychiatry,LIC72540,https://www.angelaclinic.com
8,Brandon Simmons,880.273.0256x172,rtorres@example.org,"92694 Tammy Road Suite 713, New Vanessa, PW 60464",Cardiology,LIC50462,https://www.brandonclinic.com
9,Jessica Carter MD,9066817395,parkerdarlene@example.com,"Unit 3353 Box 5286, DPO AE 92154",Dermatology,LIC90918,https://www.jessicaclinic.com
10,Bryan Williams,(750)820-3411,lopezchristopher@example.com,"045 Green Shore, North Jennifermouth, AK 62527",Neurology,LIC34529,https://www.bryanclinic.com
11,Joan Harris,424-886-9801x49888,kristina12@example.com,"791 Benjamin Views, Fishermouth, ID 83362",Psychiatry,LIC87066,https://www.joanclinic.com
12,Angela Donovan,(593)252-1950,zburke@example.com,"7429 Lee Loaf, Port Diane, VT 47636",Psychiatry,LIC22600,https://www.angelaclinic.com
13,Amber Benitez,(720)573-1906x389,angela24@example.net,"641 Hill Ridges Suite 119, East John, GU 16679",Orthopedics,LIC59280,https://www.amberclinic.com
14,Gary Freeman,001-467-725-1040,darlenereese@example.net,"122 Gutierrez Lane Apt. 740, Danieltown, FL 94479",Ophthalmology,LIC14580,https://www.garyclinic.com
15,Candice Gordon,001-282-285-9728,michelleward@example.com,"229 Martin Dam Apt. 002, Candaceland, NM 34848",Cardiology,LIC86080,https://www.candiceclinic.com
16,Kimberly Mathis,(630)948-2807x71897,belindafigueroa@example.com,"16207 Robert Vista, Port Stephenport, KY 78253",Pediatrics,LIC24036,https://www.kimberlyclinic.com
17,Roger Fuentes,(496)451-5601x1843,jesparza@example.com,"USNS Mclean, FPO AE 39565",Orthopedics,LIC67986,https://www.rogerclinic.com
18,David Perry,(864)295-8058x940,rsantana@example.net,"66237 Flores Meadows Suite 871, Russellshire, OR 08466",General Medicine,LIC77604,https://www.davidclinic.com
19,Alan Scott,+1-578-836-1121x484,jonathan37@example.com,"50270 Lee Spring Suite 181, New Kurtville, AR 39225",General Medicine,LIC28473,https://www.alanclinic.com
20,Mr. Thomas Grant,988.486.3982x43319,phillip39@example.org,"627 Steven Springs Suite 266, Marquezport, AK 23679",Psychiatry,LIC69038,https://www.mr.clinic.com
21,Yvette Hernandez,262-563-9483x60475,dorseymichael@example.org,"87550 Pierce Gateway, Sullivanstad, OR 96028",Gynecology,LIC61667,https://www.yvetteclinic.com
22,Mrs. Susan Stephens,001-205-803-7120x4667,mbryant@example.com,"4262 Elizabeth Underpass, Davidview, MI 14106",Pediatrics,LIC62747,https://www.mrs.clinic.com
23,Tiffany Hurst,209.361.9674,david44@example.org,"68971 Amanda Hill, West Jeffreyborough, NH 88680",Neurology,LIC19317,https://www.tiffanyclinic.com
24,Daniel Reed,7519509227,qhutchinson@example.com,"39710 Devon Pine Apt. 619, South Richard, WI 54960",Ophthalmology,LIC33381,https://www.danielclinic.com
25,Latasha Neal,544-277-1442,kathleenmontoya@example.org,"28384 Alfred Bypass, Lake Rachelberg, MS 81152",Neurology,LIC20178,https://www.latashaclinic.com
26,Douglas Mcgee,001-301-304-1147x906,tylerbryant@example.net,"6287 Anthony Way, Port Vincentside, WI 97225",Ophthalmology,LIC38252,https://www.douglasclinic.com
27,Christina Davies,9458910391,jessicafischer@example.org,"82137 Dennis Lodge Apt. 055, Katherinefurt, AK 18335",Ophthalmology,LIC51410,https://www.christinaclinic.com
28,Meghan Mayer,944-494-2051,youngmegan@example.net,"258 Davis Pike Apt. 277, Port Gregory, HI 73509",Urology,LIC52142,https://www.meghanclinic.com
29,Edward Armstrong,267.556.3430,john93@example.org,"732 Kevin Ports, Sarahmouth, AR 79127",Gynecology,LIC74297,https://www.edwardclinic.com
30,David Daniels,987-604-1962x6201,carriecrawford@example.net,"Unit 1444 Box 8578, DPO AA 24276",Ophthalmology,LIC18333,https://www.davidclinic.com
31,William Davis,(253)687-3969x633,natasha38@example.org,"54237 Christina Forges Apt. 588, North Christopherfort, MS 76542",Psychiatry,LIC53348,https://www.williamclinic.com
32,Elizabeth Johnson,343.838.7922x228,lynn25@example.com,"928 Brandon Trail Suite 836, Roseberg, NY 79026",Dermatology,LIC90975,https://www.elizabethclinic.com
33,Brittany Bell,9117676744,williamswendy@example.org,"7604 White Expressway Apt. 446, Morganstad, NV 49336",Dermatology,LIC14078,https://www.brittanyclinic.com
34,James Martinez,+1-399-879-2731,ruizeric@example.com,"7135 Carol Skyway Suite 414, North Christinafort, ME 66444",Dermatology,LIC54135,https://www.jamesclinic.com
35,Julia Owen,(292)398-6164x2839,hardyjacob@example.com,"Unit 7751 Box 4764, DPO AP 32813",Ophthalmology,LIC61266,https://www.juliaclinic.com
36,Sara Landry,637-412-6461,paul34@example.com,"366 Aaron Plains Suite 783, West Andrew, NH 02241",Orthopedics,LIC86077,https://www.saraclinic.com
37,Thomas Gay,2644566112,nelsonpatricia@example.net,"58439 Martin Stream Suite 762, Mcintoshborough, WV 48722",Neurology,LIC43712,https://www.thomasclinic.com
38,Suzanne Jones,+1-756-720-7706x54247,katherinemcintyre@example.net,"3930 Gina Fields, Graystad, OR 26944",Cardiology,LIC78603,https://www.suzanneclinic.com
39,Cheryl Galvan,(850)424-0271,elizabeth20@example.org,"43665 Williams Brook Suite 412, Lake Yolanda, DE 92261",Gynecology,LIC25748,https://www.cherylclinic.com
40,Leah Armstrong,(450)239-1704x36920,nwilliamson@example.com,"7596 Morgan Brook, Danielfort, PA 26101",Neurology,LIC82701,https://www.leahclinic.com
41,David Green,7387176753,michael47@example.com,"804 Neal Square, Danielburgh, WA 76763",Cardiology,LIC22630,https://www.davidclinic.com
42,Robert Hubbard,998.655.0861x407,laura93@example.org,"42064 Harris Cape Suite 479, Port Marymouth, MD 27780",Neurology,LIC63220,https://www.robertclinic.com
